Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,11.360000,11.449933,10.721000,11.009733,10.519468,23177520
2023-05-29,11.042866,12.058166,10.891400,11.715000,11.715000,35881540
2023-06-05,12.247500,13.927833,11.833333,13.868666,13.868666,53887172
2023-06-12,13.963333,13.963333,12.827333,13.478166,13.478166,35294625
2023-06-19,13.478166,13.643833,12.105500,13.454500,13.454500,26397509
2023-06-26,13.407166,15.265000,13.395333,14.779833,14.779833,17732564
2023-07-03,15.383333,17.513332,15.265000,16.330000,16.330000,76186121
2023-07-10,16.614000,18.045834,16.365499,17.359501,17.359501,65487246
2023-07-17,17.395000,21.760000,17.146500,20.700001,20.700001,80157185
2023-07-24,20.680000,21.219999,19.760000,21.040001,21.040001,62121501
2023-07-31,21.260000,29.799999,21.240000,28.100000,28.100000,106039373
2023-08-07,28.200001,36.020000,27.340000,34.919998,34.919998,118820262
2023-08-14,35.000000,40.419998,32.799999,38.599998,38.599998,84825499
2023-08-21,37.279999,42.240002,35.439999,38.840000,38.840000,70396026
2023-08-28,40.500000,43.759998,38.299999,42.580002,42.580002,51015099
2023-09-04,42.619999,43.340000,38.500000,38.900002,38.900002,40008429
2023-09-11,38.900002,39.560001,34.799999,36.560001,36.560001,56773529
2023-09-18,36.560001,40.200001,34.480000,38.820000,38.820000,67565933
2023-09-25,39.119999,40.820000,37.180000,40.639999,40.639999,58140468
2023-10-02,40.799999,42.259998,38.099998,40.220001,40.220001,43767199
2023-10-09,39.119999,41.340000,36.119999,37.000000,37.000000,48928607
2023-10-16,37.599998,41.320000,35.799999,38.139999,38.139999,79538946
2023-10-23,39.099998,42.939999,37.040001,40.580002,40.580002,75509374
2023-10-30,40.660000,45.799999,36.720001,37.040001,37.040001,156457772
2023-11-06,37.299999,37.619999,33.820000,35.619999,35.619999,57842123
2023-11-13,35.639999,35.880001,32.040001,33.820000,33.820000,47259527
2023-11-20,34.160000,34.220001,32.540001,33.360001,33.360001,54353744
2023-11-27,33.619999,33.759998,30.760000,33.040001,33.040001,49489706
2023-12-04,33.099998,33.200001,29.820000,30.719999,30.719999,30277149
2023-12-11,30.719999,31.280001,28.400000,31.120001,31.120001,29965756
2023-12-18,31.100000,32.099998,29.180000,30.520000,30.520000,31143082
2023-12-25,30.500000,32.000000,28.600000,32.000000,32.000000,29606282
2024-01-01,32.000000,32.340000,29.719999,30.920000,30.920000,18258553
2024-01-08,31.700001,32.939999,29.760000,31.480000,31.480000,37365930
2024-01-15,31.480000,33.119999,30.740000,30.900000,30.900000,34279161
2024-01-22,30.900000,34.139999,29.480000,33.580002,33.580002,56221605
2024-01-29,33.639999,35.680000,33.599998,34.959999,34.959999,51053905
2024-02-05,35.040001,37.360001,34.840000,36.599998,36.599998,43835561
2024-02-12,37.080002,41.599998,36.700001,39.540001,39.540001,83073174
2024-02-19,39.660000,40.439999,37.119999,37.240002,37.240002,42775550
2024-02-26,37.299999,39.060001,36.459999,36.900002,36.900002,44743986
2024-03-04,37.220001,37.500000,34.759998,37.259998,37.259998,33835237
2024-03-11,38.000000,39.180000,34.540001,34.540001,34.540001,37306943
2024-03-18,34.560001,34.860001,32.099998,32.259998,32.259998,46855031
2024-03-25,32.320000,32.360001,29.600000,31.700001,31.700001,41824756
2024-04-01,33.000000,33.500000,29.440001,32.040001,32.040001,40196112
2024-04-08,32.360001,33.400002,32.200001,33.259998,33.259998,7033239
2024-04-15,33.000000,34.040001,31.680000,32.580002,32.580002,34249861
2024-04-22,32.720001,36.279999,32.720001,36.160000,36.160000,36298660
2024-04-29,36.500000,38.380001,36.139999,37.700001,37.700001,30758405
2024-05-06,37.759998,38.160000,36.180000,36.500000,36.500000,25792605
2024-05-13,36.840000,39.380001,35.340000,39.000000,39.000000,34999046
2024-05-20,null,null,null,null,null,null
2024-05-20,40.000000,40.720001,39.459999,39.500000,39.500000,9406164
